Incident Title,Severity,Incident Date,Location,Reported By,Incident Type,Incident Category,Brief of Incident,Action Taken,Incident Status,Closed On
System Slowness,Low,13/06/2025 21:00,Zone 5,Team A,Network,Failure,Login Issue occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,15/06/2025 21:00
Email Delay,High,22/04/2025 04:00,Zone 4,Admin,System,Failure,High Traffic occurred in Zone 3.,Issue investigated. Status: Open.,Open,
DB Failure,Medium,20/01/2025 07:00,Zone 4,Team A,Network,Failure,Test occurred in Zone 1.,Issue investigated. Status: Open.,Open,
Login Issue,High,02/04/2025 18:00,Zone 4,Team A,Network,Failure,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
Email Delay,High,10/05/2025 10:00,Zone 1,Admin,Network,Recovery,Network Outage occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,
T2,Medium,23/06/2025 12:00,Zone 3,Admin,People,Sabotage,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Closed,23/06/2025 12:00
DB Failure,Low,29/01/2025 15:00,Zone 1,VELMURUGAN Sri,Network,Recovery,Network Outage occurred in Zone 5.,Issue investigated. Status: Open.,Closed,29/01/2025 15:00
High Traffic,Critical,12/07/2025 05:00,Zone 1,Monitoring Bot,Property,Performance,DB Failure occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,
System Slowness,High,13/02/2025 17:00,Zone 1,Admin,System,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
T2,Low,11/03/2025 04:00,Zone 1,Monitoring Bot,Property,Recovery,System Slowness occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
High Traffic,Critical,10/07/2025 19:00,Zone 3,Team A,Network,Sabotage,High Traffic occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
System Slowness,Medium,14/09/2025 12:00,Zone 3,Admin,People,Sabotage,High Traffic occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,16/09/2025 12:00
Test,Medium,13/04/2025 20:00,Zone 5,Team A,People,Sabotage,Login Issue occurred in Zone 3.,Issue investigated. Status: Open.,Closed,20/04/2025 20:00
Network Outage,Critical,05/09/2025 17:00,Zone 5,VELMURUGAN Sri,System,Traffic,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
DB Failure,High,17/05/2025 19:00,Zone 1,Operator 1,Network,Performance,High alert occurred in Zone 3.,Issue investigated. Status: Open.,Closed,21/05/2025 19:00
T2,High,28/07/2025 22:00,Zone 1,VELMURUGAN Sri,People,Traffic,Email Delay occurred in Zone 1.,Issue investigated. Status: Open.,Open,
Network Outage,Medium,26/03/2025 20:00,Zone 4,VELMURUGAN Sri,System,Recovery,High Traffic occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,
Incident Test,High,13/02/2025 01:00,Zone 3,Admin,People,Sabotage,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,16/02/2025 01:00
Network Outage,Critical,04/09/2025 16:00,Zone 2,Team A,People,Performance,T2 occurred in Zone 5.,Issue investigated. Status: Open.,Open,05/09/2025 16:00
Network Outage,Medium,05/02/2025 18:00,Zone 3,Monitoring Bot,People,Recovery,Network Outage occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,06/02/2025 18:00
System Slowness,High,21/10/2025 10:00,Zone 4,Monitoring Bot,System,Traffic,Test occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Incident Test,Low,26/07/2025 23:00,Zone 2,Operator 1,Network,Traffic,Email Delay occurred in Zone 1.,Issue investigated. Status: Open.,In Progress,05/08/2025 23:00
System Slowness,Low,20/11/2025 23:00,Zone 1,Operator 1,System,Failure,Test occurred in Zone 2.,Issue investigated. Status: Closed.,Open,21/11/2025 23:00
Network Outage,Low,18/11/2025 21:00,Zone 4,Operator 1,System,Traffic,High alert occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,28/11/2025 21:00
T2,High,02/06/2025 19:00,Zone 4,Team A,System,Performance,T2 occurred in Zone 1.,Issue investigated. Status: Open.,Closed,06/06/2025 19:00
Test,High,09/04/2025 01:00,Zone 5,Team A,Network,Failure,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,14/04/2025 01:00
Network Outage,Critical,17/11/2025 16:00,Zone 1,Admin,Property,Sabotage,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
High Traffic,High,19/06/2025 20:00,Zone 5,Team A,People,Failure,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,19/06/2025 20:00
T2,Medium,13/11/2025 23:00,Zone 1,Monitoring Bot,Network,Traffic,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,
Login Issue,Critical,10/01/2025 07:00,Zone 4,Monitoring Bot,Network,Failure,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,Open,11/01/2025 07:00
Test,Low,20/11/2025 11:00,Zone 2,Admin,Property,Sabotage,Incident Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,27/11/2025 11:00
Network Outage,Critical,19/11/2025 13:00,Zone 2,Team A,System,Recovery,DB Failure occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
DB Failure,Low,05/02/2025 08:00,Zone 2,Admin,People,Traffic,System Slowness occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,11/02/2025 08:00
Email Delay,Low,20/01/2025 15:00,Zone 3,VELMURUGAN Sri,System,Traffic,Login Issue occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,25/01/2025 15:00
T2,Low,19/02/2025 09:00,Zone 3,Team A,Network,Failure,Incident Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
DB Failure,Low,14/03/2025 17:00,Zone 1,Team A,Network,Recovery,Email Delay occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,16/03/2025 17:00
Incident Test,Low,23/11/2025 16:00,Zone 3,VELMURUGAN Sri,System,Sabotage,System Slowness occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
Email Delay,Low,06/02/2025 05:00,Zone 1,VELMURUGAN Sri,Network,Failure,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,10/02/2025 05:00
DB Failure,High,11/08/2025 22:00,Zone 3,Admin,Network,Failure,Incident Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,
T2,High,11/07/2025 06:00,Zone 2,Admin,Network,Recovery,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,12/07/2025 06:00
Login Issue,Medium,31/07/2025 19:00,Zone 3,Operator 1,System,Performance,High Traffic occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,07/08/2025 19:00
System Slowness,High,03/02/2025 22:00,Zone 2,Operator 1,System,Traffic,Incident Test occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,
DB Failure,Medium,20/06/2025 21:00,Zone 3,Monitoring Bot,Network,Performance,High alert occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,20/06/2025 21:00
Test,High,01/05/2025 17:00,Zone 2,Operator 1,Property,Performance,DB Failure occurred in Zone 1.,Issue investigated. Status: Open.,Closed,07/05/2025 17:00
High alert,High,30/08/2025 15:00,Zone 4,VELMURUGAN Sri,Network,Traffic,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,30/08/2025 15:00
Network Outage,High,11/01/2025 15:00,Zone 5,Operator 1,Property,Traffic,DB Failure occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,12/01/2025 15:00
Incident Test,Critical,21/05/2025 05:00,Zone 3,Operator 1,People,Performance,DB Failure occurred in Zone 2.,Issue investigated. Status: Closed.,Open,26/05/2025 05:00
High Traffic,Critical,20/05/2025 14:00,Zone 4,Admin,People,Traffic,Network Outage occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
Incident Test,Critical,12/05/2025 12:00,Zone 4,Team A,System,Traffic,Incident Test occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,
Email Delay,Medium,07/03/2025 11:00,Zone 2,Monitoring Bot,Network,Recovery,Login Issue occurred in Zone 5.,Issue investigated. Status: Closed.,Open,08/03/2025 11:00
T2,Critical,16/06/2025 17:00,Zone 3,VELMURUGAN Sri,Network,Failure,High Traffic occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Network Outage,High,04/04/2025 22:00,Zone 1,Admin,People,Performance,Incident Test occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,06/04/2025 22:00
Login Issue,High,17/07/2025 17:00,Zone 3,Monitoring Bot,People,Traffic,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Open,20/07/2025 17:00
Login Issue,Low,08/07/2025 08:00,Zone 4,Admin,System,Sabotage,System Slowness occurred in Zone 4.,Issue investigated. Status: Open.,Open,17/07/2025 08:00
T2,High,07/10/2025 05:00,Zone 4,VELMURUGAN Sri,People,Sabotage,High alert occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,11/10/2025 05:00
Login Issue,Medium,15/02/2025 02:00,Zone 5,Operator 1,Property,Performance,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,15/02/2025 02:00
System Slowness,Low,08/02/2025 01:00,Zone 1,Monitoring Bot,Network,Recovery,Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,13/02/2025 01:00
High Traffic,Medium,17/10/2025 17:00,Zone 3,VELMURUGAN Sri,Property,Performance,Login Issue occurred in Zone 4.,Issue investigated. Status: Open.,Open,
T2,Low,21/10/2025 09:00,Zone 5,Monitoring Bot,Property,Recovery,Incident Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,23/10/2025 09:00
High alert,Low,27/05/2025 08:00,Zone 4,Monitoring Bot,System,Traffic,High Traffic occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,27/05/2025 08:00
DB Failure,High,07/01/2025 14:00,Zone 2,Team A,System,Recovery,High alert occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
Test,Medium,06/11/2025 20:00,Zone 4,Monitoring Bot,Property,Failure,Network Outage occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
High Traffic,Critical,29/07/2025 03:00,Zone 2,Team A,System,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,31/07/2025 03:00
Test,Medium,19/01/2025 21:00,Zone 4,VELMURUGAN Sri,Network,Recovery,Incident Test occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,28/01/2025 21:00
Test,High,27/06/2025 15:00,Zone 1,Team A,System,Sabotage,T2 occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,27/06/2025 15:00
DB Failure,Medium,04/06/2025 14:00,Zone 5,Monitoring Bot,Network,Sabotage,Incident Test occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
T2,Critical,30/04/2025 00:00,Zone 2,Team A,Property,Failure,High Traffic occurred in Zone 3.,Issue investigated. Status: Closed.,Open,03/05/2025 00:00
T2,Low,13/06/2025 14:00,Zone 4,Team A,Network,Traffic,Incident Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
High Traffic,Low,16/03/2025 20:00,Zone 2,Operator 1,Network,Traffic,Test occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,21/03/2025 20:00
T2,Critical,03/03/2025 15:00,Zone 1,VELMURUGAN Sri,Property,Failure,System Slowness occurred in Zone 5.,Issue investigated. Status: Open.,Open,11/03/2025 15:00
High Traffic,Medium,29/09/2025 23:00,Zone 2,Team A,System,Recovery,Network Outage occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,29/09/2025 23:00
Test,Critical,07/08/2025 19:00,Zone 1,Monitoring Bot,Property,Sabotage,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,08/08/2025 19:00
High alert,Critical,26/06/2025 16:00,Zone 1,Monitoring Bot,Network,Traffic,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,Open,29/06/2025 16:00
High Traffic,Critical,30/09/2025 17:00,Zone 1,Monitoring Bot,System,Failure,High alert occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
System Slowness,High,04/08/2025 13:00,Zone 2,VELMURUGAN Sri,People,Failure,High Traffic occurred in Zone 1.,Issue investigated. Status: Open.,Closed,09/08/2025 13:00
T2,Medium,03/09/2025 00:00,Zone 3,Monitoring Bot,People,Sabotage,T2 occurred in Zone 1.,Issue investigated. Status: Closed.,Open,12/09/2025 00:00
Incident Test,Critical,31/03/2025 18:00,Zone 3,Admin,People,Recovery,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,Open,03/04/2025 18:00
Network Outage,Medium,15/01/2025 06:00,Zone 5,VELMURUGAN Sri,Property,Performance,System Slowness occurred in Zone 5.,Issue investigated. Status: Open.,Open,
Test,Low,11/03/2025 14:00,Zone 1,Operator 1,System,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,17/03/2025 14:00
Email Delay,Medium,10/08/2025 08:00,Zone 2,Team A,System,Recovery,Login Issue occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,
Login Issue,High,05/01/2025 10:00,Zone 5,Operator 1,System,Sabotage,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Open,
High Traffic,Low,28/01/2025 07:00,Zone 3,Monitoring Bot,Network,Performance,Test occurred in Zone 2.,Issue investigated. Status: Open.,Closed,06/02/2025 07:00
T2,Medium,03/05/2025 18:00,Zone 5,Admin,Property,Failure,Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,
High alert,High,24/06/2025 13:00,Zone 3,Team A,Property,Performance,System Slowness occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,15/02/2025 20:00,Zone 1,Admin,Property,Performance,DB Failure occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,16/02/2025 20:00
Incident Test,High,31/01/2025 19:00,Zone 2,Operator 1,Network,Traffic,Test occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,08/02/2025 19:00
T2,Medium,12/09/2025 01:00,Zone 3,Monitoring Bot,Property,Recovery,High Traffic occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,
High alert,Low,21/08/2025 12:00,Zone 2,VELMURUGAN Sri,Network,Performance,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,
T2,High,09/05/2025 01:00,Zone 3,Monitoring Bot,People,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,12/05/2025 01:00
High alert,Low,21/02/2025 02:00,Zone 4,Team A,People,Sabotage,DB Failure occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,27/02/2025 02:00
DB Failure,Medium,08/09/2025 22:00,Zone 5,Operator 1,People,Sabotage,T2 occurred in Zone 2.,Issue investigated. Status: Open.,Open,09/09/2025 22:00
Incident Test,Medium,13/02/2025 18:00,Zone 4,Monitoring Bot,System,Failure,Email Delay occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,15/02/2025 18:00
T2,High,26/03/2025 20:00,Zone 5,Team A,Property,Performance,Login Issue occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
T2,Critical,31/05/2025 11:00,Zone 4,Operator 1,People,Traffic,Incident Test occurred in Zone 5.,Issue investigated. Status: Open.,Closed,06/06/2025 11:00
Login Issue,High,24/03/2025 10:00,Zone 3,Monitoring Bot,People,Recovery,High Traffic occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
DB Failure,Critical,09/09/2025 15:00,Zone 4,Admin,System,Failure,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Open,18/09/2025 15:00
High alert,Critical,04/05/2025 15:00,Zone 3,Operator 1,Network,Sabotage,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
Test,Critical,12/09/2025 18:00,Zone 2,Monitoring Bot,System,Sabotage,High alert occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,14/09/2025 18:00
System Slowness,High,16/08/2025 14:00,Zone 2,Monitoring Bot,Network,Failure,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Test,Critical,18/04/2025 08:00,Zone 3,Operator 1,Property,Recovery,T2 occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,
Email Delay,High,01/05/2025 19:00,Zone 3,Admin,Network,Sabotage,Incident Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
Incident Test,High,13/09/2025 18:00,Zone 1,Operator 1,System,Failure,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,15/09/2025 18:00
Login Issue,Low,29/03/2025 01:00,Zone 1,Team A,Property,Recovery,Test occurred in Zone 4.,Issue investigated. Status: Closed.,Open,29/03/2025 01:00
High Traffic,Low,09/05/2025 14:00,Zone 2,Operator 1,Property,Performance,Incident Test occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,13/05/2025 14:00
Email Delay,Critical,28/02/2025 13:00,Zone 2,Team A,System,Performance,Incident Test occurred in Zone 5.,Issue investigated. Status: Open.,Open,
Email Delay,Low,09/05/2025 09:00,Zone 1,VELMURUGAN Sri,System,Traffic,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,09/05/2025 09:00
T2,High,11/10/2025 10:00,Zone 4,Team A,Property,Recovery,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,13/10/2025 10:00
T2,Critical,18/04/2025 09:00,Zone 4,Monitoring Bot,System,Recovery,Email Delay occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,20/04/2025 09:00
Test,High,28/01/2025 15:00,Zone 5,Team A,System,Failure,Email Delay occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
Network Outage,Medium,24/11/2025 07:00,Zone 4,Monitoring Bot,Property,Sabotage,Test occurred in Zone 1.,Issue investigated. Status: Closed.,Open,30/11/2025 07:00
Test,Low,09/09/2025 19:00,Zone 2,Operator 1,People,Sabotage,Incident Test occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,15/09/2025 19:00
Incident Test,Medium,02/11/2025 15:00,Zone 4,VELMURUGAN Sri,Network,Recovery,Email Delay occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
System Slowness,Medium,24/09/2025 08:00,Zone 3,Team A,People,Sabotage,T2 occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
Test,High,07/08/2025 05:00,Zone 5,Operator 1,Network,Recovery,T2 occurred in Zone 5.,Issue investigated. Status: Open.,Open,
DB Failure,Medium,12/11/2025 08:00,Zone 1,Monitoring Bot,Property,Performance,Test occurred in Zone 4.,Issue investigated. Status: Closed.,Open,
T2,Medium,10/01/2025 00:00,Zone 5,Admin,Property,Performance,Login Issue occurred in Zone 5.,Issue investigated. Status: Open.,Closed,17/01/2025 00:00
System Slowness,Critical,20/04/2025 12:00,Zone 5,Team A,System,Sabotage,Email Delay occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,26/04/2025 12:00
High Traffic,Low,13/02/2025 17:00,Zone 3,Team A,Property,Performance,T2 occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,
T2,Low,17/10/2025 10:00,Zone 5,Monitoring Bot,Network,Performance,Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
Email Delay,High,08/02/2025 17:00,Zone 1,VELMURUGAN Sri,Property,Traffic,Incident Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
High Traffic,Low,13/10/2025 19:00,Zone 1,VELMURUGAN Sri,People,Performance,DB Failure occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
Incident Test,Critical,21/03/2025 20:00,Zone 1,Operator 1,Property,Traffic,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,07/01/2025 13:00,Zone 3,Admin,Network,Failure,High Traffic occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
High Traffic,Medium,22/10/2025 18:00,Zone 2,VELMURUGAN Sri,System,Recovery,High Traffic occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,29/10/2025 18:00
T2,Low,21/01/2025 21:00,Zone 1,VELMURUGAN Sri,System,Failure,System Slowness occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Login Issue,Low,01/04/2025 09:00,Zone 1,Monitoring Bot,People,Traffic,Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,08/04/2025 09:00
Email Delay,Medium,16/11/2025 00:00,Zone 2,Team A,Property,Sabotage,Network Outage occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,
DB Failure,High,02/11/2025 02:00,Zone 2,Operator 1,System,Recovery,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,
Network Outage,High,24/07/2025 08:00,Zone 1,Operator 1,People,Performance,Test occurred in Zone 1.,Issue investigated. Status: Open.,Open,31/07/2025 08:00
Test,High,13/01/2025 19:00,Zone 3,Monitoring Bot,Property,Performance,Login Issue occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,
DB Failure,Critical,13/01/2025 06:00,Zone 1,Team A,Network,Traffic,Network Outage occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,20/01/2025 06:00
T2,Medium,19/01/2025 15:00,Zone 2,Monitoring Bot,Network,Failure,Incident Test occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,20/01/2025 15:00
T2,Critical,07/09/2025 06:00,Zone 2,Admin,Network,Performance,Email Delay occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Test,Medium,03/06/2025 23:00,Zone 2,Team A,People,Sabotage,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
Network Outage,High,11/09/2025 03:00,Zone 3,VELMURUGAN Sri,Property,Failure,Email Delay occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,
Incident Test,Low,10/01/2025 03:00,Zone 4,Team A,Network,Recovery,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,12/01/2025 03:00
Login Issue,Critical,11/01/2025 01:00,Zone 2,Admin,System,Recovery,System Slowness occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,
Email Delay,Low,01/06/2025 22:00,Zone 5,Monitoring Bot,Network,Sabotage,DB Failure occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,03/06/2025 22:00
Incident Test,Critical,04/10/2025 10:00,Zone 2,Operator 1,Property,Performance,Network Outage occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,06/10/2025 10:00
Incident Test,Low,01/03/2025 13:00,Zone 4,Admin,Network,Traffic,T2 occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,11/03/2025 13:00
T2,Critical,09/09/2025 08:00,Zone 2,Operator 1,Property,Recovery,High alert occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
Test,Low,14/01/2025 01:00,Zone 4,Admin,Property,Failure,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,15/01/2025 01:00
Login Issue,High,09/02/2025 16:00,Zone 1,Operator 1,People,Failure,Network Outage occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
High alert,High,25/10/2025 21:00,Zone 5,Admin,Network,Traffic,DB Failure occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
High alert,Low,22/11/2025 05:00,Zone 3,Monitoring Bot,Property,Failure,High Traffic occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,
System Slowness,Medium,17/01/2025 02:00,Zone 1,Admin,Network,Sabotage,Email Delay occurred in Zone 2.,Issue investigated. Status: Open.,Closed,21/01/2025 02:00
